"ID";"Region";"global_id";"TariffItem";"UnitOfMeasure";"StartDate";"EndDate";"MeasureDeviceAvail";"StoveType";"ConsumptionTime";"ConsumptionTarget";"Agency";"TariffValue";
"304";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693675";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"электрическая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.71";
"305";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693676";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"электрическая";"с 07:00 по 23:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.82";
"306";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693677";"Электроэнергия";"руб/кВт.ч";"01.07.2012";"31.07.2012";"да";"электрическая";"с 23:00 по 07:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.71";
"320";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693678";"Горячее водоснабжение";"руб/куб.м";"01.01.2012";"30.06.2012";"да";"";"";"";"ОАО «Мосэнерго» и ОАО «МТК»";"84.62";
"323";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693679";"Газ";"руб/чел";"01.01.2012";"30.06.2012";"нет";"";"";"при наличии в квартире газовой плиты и централизованного горячего водоснабжения";"ООО «Газпром межрегионгаз Москва»";"33.91";
"327";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693680";"Газ";"руб/чел";"01.01.2012";"30.06.2012";"нет";"";"";"при наличии в квартире газовой плиты и отсутствии централизованного горячего водоснабжения и газового водонагревателя";"ООО «Газпром межрегионгаз Москва»";"42.49";
"328";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693681";"Газ";"руб/чел";"01.07.2012";"31.12.2012";"нет";"";"";"при наличии в квартире газовой плиты и отсутствии централизованного горячего водоснабжения и газового водонагревателя";"ООО «Газпром межрегионгаз Москва»";"48.88";
"330";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693682";"Газ";"руб/кв.м";"01.07.2012";"31.08.2012";"нет";"";"";"дома с отоплением от газовых нагревателей";"ООО «Газпром межрегионгаз Москва»";"25.61";
"331";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693683";"Газ";"руб/куб.м";"15.01.2012";"30.06.2012";"да/нет";"";"";"на приготовление пищи и нагрев воды с использованием газовой плиты (в отсутствие других направлений использования газа)";"ООО «Газпром межрегионгаз Москва»";"4.09";
"333";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693684";"Газ";"руб/куб.м";"15.01.2012";"30.06.2012";"да/нет";"";"";"на нагрев воды с использованием газового водонагревателя при отсутствии центрального горячего водоснабжения (в отсутствие других направлений использования газа)";"ООО «Газпром межрегионгаз Москва»";"4.09";
"335";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693685";"Газ";"руб/куб.м";"15.01.2012";"30.06.2012";"да/нет";"";"";"на приготовление пищи и нагрев воды с использованием газовой плиты и нагрев воды с использованием газового водонагревателя при отсутствии центрального горячего водоснабжения (в отсутствие других направлений использования газа)";"ООО «Газпром межрегионгаз Москва»";"4.09";
"273";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693806";"Холодное водоснабжение";"руб/куб.м";"01.01.2012";"30.06.2012";"да";"";"";"";"МГУП «Мосводоканал»";"23.31";
"274";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693807";"Холодное водоснабжение";"руб/куб.м";"01.07.2012";"31.08.2012";"да";"";"";"";"МГУП «Мосводоканал»";"25.61";
"311";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693820";"Отопление";"руб/Гкал";"01.01.2012";"30.06.2012";"да";"";"";"";"ОАО «МОЭК» и иные, кроме ОАО «Мосэнерго» и ОАО «МТК»";"1325.7";
"315";"город Москва (за исключением Троицкого и Новомосковского АО)";"19693821";"Отопление";"руб/Гкал";"01.07.2012";"31.08.2012";"да";"";"";"";"ОАО «Мосэнерго» и ОАО «МТК»";"1034.06";
